,index,db,loc,filename,type,label,set_type,GT
0,0,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,1a8df39f-4959-42f5-a206-694c40fafb31.png,labeled,Small bowel_terminal ileum,Validation,3
1,1,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,0f886d51-8576-4208-a850-98aefb696241.png,labeled,Small bowel_terminal ileum,Train,3
2,2,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,142df188-9742-4bce-a38a-792d312c65bf.png,labeled,Small bowel_terminal ileum,Train,3
3,3,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,820228e5-df1a-4bba-a583-a9ca63cae865.png,labeled,Small bowel_terminal ileum,Validation,3
4,4,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,01f5059a-6922-4619-8b06-28f3cb620a54.png,labeled,Small bowel_terminal ileum,Validation,3
5,5,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,1f58cb41-82eb-4760-a8ba-934258f9c7d6.png,labeled,Small bowel_terminal ileum,Train,3
6,6,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,0e25b6ab-d388-4c95-a57d-ef817008eb4a.png,labeled,Small bowel_terminal ileum,Validation,3
7,7,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,17eabac0-cbdb-4713-9692-d8e6763dfc5b.png,labeled,Small bowel_terminal ileum,Validation,3
8,8,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,1e636a66-9fda-48ce-a871-f88e9e41c4f1.png,labeled,Small bowel_terminal ileum,Train,3
9,9,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,15187331-c78b-4347-887a-42d337ae1243.png,labeled,Small bowel_terminal ileum,Train,3
10,10,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,1af4b587-a832-4fce-8cc0-c84ec99cc890.png,labeled,Small bowel_terminal ileum,Test,3
11,11,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,10736547-032e-4fe9-96bc-4d8305934e40.png,labeled,Small bowel_terminal ileum,Test,3
12,12,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,0e886d95-8392-479b-99fe-af6a63bd2fb6.png,labeled,Small bowel_terminal ileum,Validation,3
13,13,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,131db18f-e001-454b-bcb0-123977b5d45e.png,labeled,Small bowel_terminal ileum,Train,3
14,14,GastroVision,GastroVision\labeled-images\Small bowel_terminal ileum,0cec4028-9c0f-46a8-ae90-214f0bd89d52.png,labeled,Small bowel_terminal ileum,Validation,3
