,index,db,loc,filename,type,label,set_type,GT
0,8000,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,000e3fee-7f5c-4819-9f9c-4c983b68888a.png,labeled,cecum,Validation,2
1,8001,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,001a41c2-2a5d-40b1-8fd5-b5f2f292277b.png,labeled,cecum,Train,2
2,8002,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,006af0aa-2044-4477-964d-10d9e043fb78.png,labeled,cecum,Train,2
3,8003,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,00832522-ab8e-4b98-bfce-93a777929571.png,labeled,cecum,Train,2
4,8004,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,012ab888-64e6-4361-9745-f52b4a03ba75.png,labeled,cecum,Validation,2
5,8005,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,014a6880-6306-47ab-8766-adc17507b7c3.png,labeled,cecum,Validation,2
6,8006,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,019975d6-14e2-4a71-9e35-934f2280fab6.png,labeled,cecum,Train,2
7,8007,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,01b2ec26-e814-4053-a820-37c9b703d47a.png,labeled,cecum,Validation,2
8,8008,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,020945d2-ade3-4cf9-b15d-634729b2b4a2.png,labeled,cecum,Validation,2
9,8009,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0225440c-73b0-4c5e-b4b4-5bfe306834c9.png,labeled,cecum,Validation,2
10,8010,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,022ade3a-d78e-49b6-a447-609bdc8da113.png,labeled,cecum,Train,2
11,8011,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,02387cd3-612f-4358-a4d8-4f3116fb3db0.png,labeled,cecum,Train,2
12,8012,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,026d749a-7017-4a08-8920-8ed44a168f7e.png,labeled,cecum,Train,2
13,8013,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,02952c26-912d-447b-a6df-6dd0b15d2261.png,labeled,cecum,Train,2
14,8014,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,02bd3e73-adac-40e7-a80a-16d8567b8929.png,labeled,cecum,Validation,2
15,8015,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,03668dee-c9d1-439f-828a-e9a77583a9a9.png,labeled,cecum,Train,2
16,8016,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,03b81c36-0b59-4220-bc00-00cdee1173c2.png,labeled,cecum,Validation,2
17,8017,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,03dcec22-f59a-465e-b438-37e9949450fd.png,labeled,cecum,Train,2
18,8018,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,042b5605-43b8-435e-85bc-0e21e4ced465.png,labeled,cecum,Train,2
19,8019,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,045a9a29-7b66-4ec0-b042-4c527d880d29.png,labeled,cecum,Train,2
20,8020,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,04827eb8-7b02-4e85-baa2-e55a6191f542.png,labeled,cecum,Validation,2
21,8021,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0484bad7-8e24-47be-9a16-86e861c67eee.png,labeled,cecum,Validation,2
22,8022,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,04a2700f-b444-4b71-a956-33186e665b3e.png,labeled,cecum,Train,2
23,8023,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,04b6e35b-5ece-4af3-ad0f-a09a6fdb62dc.png,labeled,cecum,Train,2
24,8024,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,04dbbb77-4cd0-4a28-9260-256b95d02bc8.png,labeled,cecum,Train,2
25,8025,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,052b1a76-5694-4542-8903-4f0209a6203c.png,labeled,cecum,Validation,2
26,8026,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0547ea29-b470-4f81-988f-af778254f03a.png,labeled,cecum,Train,2
27,8027,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,055f25cc-a2cd-48dd-9900-958f5d794e0b.png,labeled,cecum,Validation,2
28,8028,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,05d44203-878c-4655-ac4c-d90e890bdc0a.png,labeled,cecum,Train,2
29,8029,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,05fc4f81-db11-4af5-87da-f9fc2f752842.png,labeled,cecum,Validation,2
30,8030,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,05fc635d-8423-4727-a3f4-367f753ba279.png,labeled,cecum,Validation,2
31,8031,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,06158368-8187-47d6-a724-c2d8d1a4c4e0.png,labeled,cecum,Validation,2
32,8032,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,068f7144-850a-4ad4-8623-2ab40e16b7c0.png,labeled,cecum,Train,2
33,8033,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,06a4e549-df04-428f-a370-aa6bce87e9eb.png,labeled,cecum,Validation,2
34,8034,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,06dc4006-6b03-46b0-aaf6-0af47f27c68a.png,labeled,cecum,Validation,2
35,8035,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,06fff1c3-0d03-43c0-8850-4c6146198cb9.png,labeled,cecum,Validation,2
36,8036,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,071f886a-3e66-4377-bd19-b55832bbc23f.png,labeled,cecum,Train,2
37,8037,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0724d289-be4d-4ee7-b39a-9105df9b1686.png,labeled,cecum,Validation,2
38,8038,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,073a859a-f7e6-48ba-bc11-25bcd313c323.png,labeled,cecum,Validation,2
39,8039,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,077b7f3e-3a51-43e1-aa27-b414c99ce5eb.png,labeled,cecum,Train,2
40,8040,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,07d5256f-0e67-4df0-a7aa-3d7116c4960b.png,labeled,cecum,Train,2
41,8041,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,085623f8-d2fc-47c9-8d92-7b370f23386f.png,labeled,cecum,Train,2
42,8042,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,08e91eb3-1cfd-4ef5-88f6-672ab70acb96.png,labeled,cecum,Validation,2
43,8043,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0901cb71-3f85-4d4a-b5e4-67f7b614f692.png,labeled,cecum,Train,2
44,8044,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0905dab6-8295-4e9d-9e85-8ea6269ff3b9.png,labeled,cecum,Train,2
45,8045,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,090d30fe-473f-4c13-9acf-d674dcfbd092.png,labeled,cecum,Train,2
46,8046,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,090df806-3eaf-4621-b5ed-518323123cc7.png,labeled,cecum,Validation,2
47,8047,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0924f36a-430c-4c51-ae3b-a2d970391210.png,labeled,cecum,Train,2
48,8048,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,097df7d3-1ce8-4512-9b2f-d39bcce8ca5a.png,labeled,cecum,Validation,2
49,8049,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,099db767-3910-4e5f-bdc2-0127011b6de1.png,labeled,cecum,Validation,2
50,8050,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,09aca9b7-3b72-44eb-9413-96a6e5709dea.png,labeled,cecum,Train,2
51,8051,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,09e87e94-a4a1-4a0c-951d-15b5ff163961.png,labeled,cecum,Train,2
52,8052,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,09f59968-77dc-4d7d-8dac-e9a36ece4948.png,labeled,cecum,Train,2
53,8053,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0a4c2cc2-a86f-4cac-84ca-942b17a6e6db.png,labeled,cecum,Validation,2
54,8054,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0a760b47-04dd-48d8-844b-cc5e64a75d36.png,labeled,cecum,Train,2
55,8055,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0ab90323-3fb7-4312-ad67-cd2070fb35fd.png,labeled,cecum,Validation,2
56,8056,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0af13626-c36f-4682-b27f-1c2e50533bb9.png,labeled,cecum,Validation,2
57,8057,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0b15f9c7-53ce-4977-8b09-d1620f398861.png,labeled,cecum,Validation,2
58,8058,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0b2900bc-e69e-4520-9f19-bda9325b141e.png,labeled,cecum,Train,2
59,8059,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0b655577-ac60-4084-bf6f-f59e05671d40.png,labeled,cecum,Train,2
60,8060,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0bb07e26-046f-4fa9-9f2f-44ef9ad65de6.png,labeled,cecum,Validation,2
61,8061,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0bb3bade-c072-4926-a62c-ac9baeeff21d.png,labeled,cecum,Validation,2
62,8062,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0bdacebc-6019-4aac-ae79-03d51e41279b.png,labeled,cecum,Validation,2
63,8063,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0c4055b2-f0b3-4aca-9ead-c2affbd288c6.png,labeled,cecum,Train,2
64,8064,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0c574459-7a6c-49a7-a24a-83f14a217ad7.png,labeled,cecum,Train,2
65,8065,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0c7f8e84-5831-41ae-95d0-4240feb746b7.png,labeled,cecum,Train,2
66,8066,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0caf3748-93ef-4823-893d-cc4bcb6012c0.png,labeled,cecum,Validation,2
67,8067,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0cf9e0c8-5dd7-4657-9f79-fc4a2e8b7f86.png,labeled,cecum,Train,2
68,8068,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0d1c6f14-1891-4c1b-a11b-64f73f21862d.png,labeled,cecum,Validation,2
69,8069,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0d63ea03-407a-44f4-a8e8-7af9fa7b72b6.png,labeled,cecum,Train,2
70,8070,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0ddf456d-1fc8-468a-a78e-7dd03e8e51d8.png,labeled,cecum,Validation,2
71,8071,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0e0fe80a-cad2-4e83-a028-1281fcd59926.png,labeled,cecum,Train,2
72,8072,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0e393985-d2a7-4211-aff5-ef331abebf82.png,labeled,cecum,Train,2
73,8073,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0eb29c65-f36d-4f68-9125-f3b861b9fd0b.png,labeled,cecum,Validation,2
74,8074,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0f002100-95d7-4c31-9a9e-532898053829.png,labeled,cecum,Validation,2
75,8075,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0f09a2a0-d78d-43b1-b849-eb6f2c3d9fa8.png,labeled,cecum,Validation,2
76,8076,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0f2c030a-2bce-4251-8e20-bd7f99a42257.png,labeled,cecum,Train,2
77,8077,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0f7d9301-15da-476a-939b-cc1d7fac0cc5.png,labeled,cecum,Validation,2
78,8078,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0f7ecd14-d07f-4f4b-8c54-1146bbc8ae37.png,labeled,cecum,Validation,2
79,8079,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0fac643e-0cea-45fc-b470-56666ba60e90.png,labeled,cecum,Train,2
80,8080,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,0ffc15ab-6b4c-41fd-865f-8f5f0812854b.png,labeled,cecum,Train,2
81,8081,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,102dfa01-a4ba-4d1f-8eef-f9a0ccd42a31.png,labeled,cecum,Train,2
82,8082,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,107d6261-ac51-4e0f-b6a1-8287986aac8d.png,labeled,cecum,Train,2
83,8083,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,10ea9a31-b325-49bc-bbc5-76f328226385.png,labeled,cecum,Validation,2
84,8084,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1133b36b-b186-430a-92bc-ae5e86e7c955.png,labeled,cecum,Validation,2
85,8085,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,113b079d-b979-405b-8521-f75955bba27f.png,labeled,cecum,Train,2
86,8086,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1144571d-9046-422e-9fb8-2d45321350f4.png,labeled,cecum,Train,2
87,8087,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,115c5b78-b210-4dc7-8bb5-fa776ecad51b.png,labeled,cecum,Validation,2
88,8088,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1173ccc6-ca13-48df-bf9a-298131666121.png,labeled,cecum,Validation,2
89,8089,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,11c8a3f8-4ad0-42b8-8f45-a7b31feb5727.png,labeled,cecum,Train,2
90,8090,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,12695882-7bee-4915-9c07-2caf06ac5600.png,labeled,cecum,Validation,2
91,8091,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,126f4d6b-a6b0-43f6-b46b-c717d5557407.png,labeled,cecum,Train,2
92,8092,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,12bf75aa-08da-4286-ba1e-bbc4103a86cf.png,labeled,cecum,Train,2
93,8093,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,12fc4384-70c3-4916-80d8-a769065a5190.png,labeled,cecum,Validation,2
94,8094,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,13af6b8f-80fe-497b-98df-017d859329d8.png,labeled,cecum,Validation,2
95,8095,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1446309d-0de6-453c-bfec-d19b95be7464.png,labeled,cecum,Train,2
96,8096,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,14515fc7-358d-4913-aa3b-fac17e642dd3.png,labeled,cecum,Train,2
97,8097,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,14cd6203-38ec-4d5c-8ad6-9ac9e2dc5baf.png,labeled,cecum,Train,2
98,8098,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,14f3a0ec-2806-4be1-9970-e50e9a681eac.png,labeled,cecum,Validation,2
99,8099,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1536cdef-e0ac-47a2-a71b-d6a12458f460.png,labeled,cecum,Validation,2
100,8100,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,159cb3a8-b8b8-4262-ae1a-ebafe8f860a9.png,labeled,cecum,Validation,2
101,8101,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,15a0eaec-36af-4711-bab0-7bf62b304124.png,labeled,cecum,Validation,2
102,8102,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,15c2f524-ebf6-421f-828f-d148ab3f6f60.png,labeled,cecum,Validation,2
103,8103,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,16245174-085d-4fb1-bcba-d00195dde721.png,labeled,cecum,Validation,2
104,8104,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,169573d1-3c01-402d-ac1c-f7bdd2b40ced.png,labeled,cecum,Validation,2
105,8105,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,16c1d71e-df57-4c22-90b5-92cf5db176ca.png,labeled,cecum,Train,2
106,8106,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1731cee8-f616-4ce7-afd3-5c279a7840ef.png,labeled,cecum,Train,2
107,8107,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,173dcf99-3145-4d35-a961-e2136df61569.png,labeled,cecum,Validation,2
108,8108,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,176bb849-bc68-4029-afe7-ceef8f06954f.png,labeled,cecum,Validation,2
109,8109,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,178744e1-0883-4df9-8ec7-e13f133a98a1.png,labeled,cecum,Train,2
110,8110,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,17b4b892-4de8-4296-82bf-421f1b629639.png,labeled,cecum,Train,2
111,8111,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,17fd5318-106d-42a3-8ccd-72df865159ca.png,labeled,cecum,Validation,2
112,8112,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,180eb815-da30-4397-b22b-43c740bc4392.png,labeled,cecum,Validation,2
113,8113,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1826f559-d564-40ac-af3d-029f5688e955.png,labeled,cecum,Train,2
114,8114,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,183085b1-852d-4bdc-a7ef-a87cde65f706.png,labeled,cecum,Validation,2
115,8115,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,184a289a-0314-4d26-b7e1-8b340d92bbca.png,labeled,cecum,Validation,2
116,8116,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,18a296cc-368d-4aeb-ba43-a7c3a2ef1856.png,labeled,cecum,Validation,2
117,8117,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,19716c9a-1dc0-454e-a067-a343ffc81aec.png,labeled,cecum,Train,2
118,8118,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,19995340-d885-4ee9-af9b-f40ae2153ad6.png,labeled,cecum,Train,2
119,8119,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,19af3533-615c-4238-a93d-085ef86aa6bc.png,labeled,cecum,Validation,2
120,8120,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,19b19c2b-d2e4-4300-aad1-bb6187a956f3.png,labeled,cecum,Validation,2
121,8121,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,19c506a7-f4d8-4eb2-9ef0-713bce386abd.png,labeled,cecum,Train,2
122,8122,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,19e0df52-2e0a-4dd0-87df-93225c678374.png,labeled,cecum,Train,2
123,8123,hyper-kvasir,hyper-kvasir\labeled-images\lower-gi-tract\anatomical-landmarks\cecum,1a037a3c-099a-4802-89ad-846cbf2f66d5.png,labeled,cecum,Train,2
